override_id,task_id,field_name,override_value
LO-HOKURYU-001,RN-H24-03,address,{要確認：北竜町近隣の葬儀社}
LO-HOKURYU-002,RN-H24-03,phone,{要確認：葬儀社の電話番号}
LO-HOKURYU-003,RN-H24-05,steps_detail,1. 裏口・勝手口・2階の窓も忘れずにチェック 2. ガスメーター付近の元栓も閉める 3. 冬季（11〜3月）空き家→凍結リスクあり。北竜町役場（0164-34-2111）に水抜き相談 4. 冷蔵庫・スマホ充電器は残す 5. 同居→故人の部屋の窓の施錠確認のみ
LO-HOKURYU-004,RN-H24-05,faq,Q.同居→故人の部屋の施錠確認 / Q.遠方→親族・大家に依頼 / Q.冬場の水抜き→役場（0164-34-2111）に相談
LO-HOKURYU-005,RN-D7-01,address,{要確認：北竜町近隣の葬儀社}
LO-HOKURYU-006,RN-D7-01,phone,{要確認：葬儀社の電話番号}
LO-HOKURYU-007,RN-D7-02,address,{要確認：葬儀社}
LO-HOKURYU-008,RN-D7-02,phone,{要確認：葬儀社の電話番号}
LO-HOKURYU-009,RN-D7-04,steps_detail,1. 北竜町の場合、町内会長・隣組長への連絡も検討 2. 伝え方の例文あり 3. 家族葬の場合の断り方 4. 連絡済みかどうかの記録推奨
LO-HOKURYU-010,RN-D7-06,action_summary,北竜町役場 1F 住民課に「死亡届」を提出し、「火葬許可証」を受け取る。届出は葬儀社が代行してくれる場合も多い。
LO-HOKURYU-011,RN-D7-06,destination,北竜町役場
LO-HOKURYU-012,RN-D7-06,steps_short,1. 死亡診断書の原本と届出人の印鑑を用意 2. 北竜町役場1F住民課で伝える 3. 必要事項を記入して提出 4. 火葬許可証を受け取りクリアファイルで保管
LO-HOKURYU-013,RN-D7-06,steps_detail,1. 認印OK（シャチハタ不可） 2. 平日8:30-17:15、時間外は当直窓口で届出のみ可 3. 左半分が死亡届 4. 葬儀社代行の可能性あり
LO-HOKURYU-014,RN-D7-06,office_hours,平日 8:30-17:15（時間外・休日は当直窓口で届出のみ可）
LO-HOKURYU-015,RN-D7-06,address,北海道雨竜郡北竜町字和11-1
LO-HOKURYU-016,RN-D7-06,phone,0164-34-2111
LO-HOKURYU-017,RN-D7-07,address,{要確認：火葬場}
LO-HOKURYU-018,RN-D7-11,action_summary,北竜町役場で1回の来庁でまとめて行える手続きを事前に確認し、必要書類を準備する。
LO-HOKURYU-019,RN-D7-11,destination,北竜町役場
LO-HOKURYU-020,RN-D7-11,steps_short,1. 役場関連タスクを確認 2. 役場に電話して持ち物確認 3. 基本セット準備 4. 来庁日時を決める（午前推奨）
LO-HOKURYU-021,RN-D7-11,steps_detail,1. 世帯主変更・保険証返却・葬祭費申請・介護保険届出・住民票の除票取得・マイナンバーカード返却等 2. 電話：0164-34-2111 3. 基本持ち物一式 4. 2〜3時間見込み
LO-HOKURYU-022,RN-D7-11,office_hours,平日 8:30-17:15
LO-HOKURYU-023,RN-D7-11,address,北海道雨竜郡北竜町字和11-1
LO-HOKURYU-024,RN-D7-11,phone,0164-34-2111
LO-HOKURYU-025,RN-D7-11,faq,Q.おくやみ窓口→専用なくても住民課に事前連絡で案内可 / Q.代理人→委任状で可 / Q.1日で終わる→2〜3時間で主要手続き完了
LO-HOKURYU-026,RN-D7-13,action_summary,北竜町役場で故人の「住民票の除票」を取得する。複数枚まとめて取得推奨。
LO-HOKURYU-027,RN-D7-13,destination,北竜町役場 1F 住民課
LO-HOKURYU-028,RN-D7-13,office_hours,平日 8:30-17:15
LO-HOKURYU-029,RN-D7-13,address,北海道雨竜郡北竜町字和11-1
LO-HOKURYU-030,RN-D7-13,phone,0164-34-2111
LO-HOKURYU-147,RN-D7-16,address,北竜町にキャリアショップなし。深川市内のショップまたは電話/オンライン手続きを推奨
LO-HOKURYU-148,RN-D7-16,steps_detail,1. よく使われるもの：誕生日（6桁）、電話番号の下4桁、結婚記念日。【重要】10回間違えるとデータが消える機種あり。3回試してダメなら止める。\n2. iPhone→Appleサポート（0120-277-535）に相談。Digital Legacyの案内を受けられる。\n3. Android→Googleの「故人のアカウントに関するリクエスト」ページから申請。審査に数週間。\n4. 費用目安：3〜10万円。北竜町にキャリアショップなし。電話/オンライン対応を推奨。深川市内のショップも利用可。
LO-HOKURYU-149,RN-D7-17,address,{要確認：北空知信金、JAきたそらち、北洋銀行深川支店、ゆうちょ銀行等}
LO-HOKURYU-150,RN-D7-17,phone,{要確認：各銀行の電話番号}
LO-HOKURYU-151,RN-D7-17,steps_detail,1. 例：口座残高600万円・相続人が配偶者と子1人の場合、配偶者は600万×1/3×1/2＝100万円まで引き出せる。\n2. 葬儀費用・医療費の精算・当面の生活費を概算する。\n3.【重要】実際の引き出しは銀行届出（口座凍結）後。凍結前に無理に引き出す必要なし。北空知信金・JAきたそらち・北洋銀行深川支店・ゆうちょ銀行等、口座がある銀行すべてで利用可能。家庭裁判所の審判による払戻し（上限なし）もある。
LO-HOKURYU-031,RN-D14-01,action_summary,北竜町役場で世帯主変更届を提出する。故人が世帯主で残り2人以上の場合に必要。
LO-HOKURYU-032,RN-D14-01,destination,北竜町役場 1F 住民課
LO-HOKURYU-033,RN-D14-01,office_hours,平日 8:30-17:15
LO-HOKURYU-034,RN-D14-01,address,北海道雨竜郡北竜町字和11-1
LO-HOKURYU-035,RN-D14-01,phone,0164-34-2111
LO-HOKURYU-036,RN-D14-02,destination,国保・後期高齢者：北竜町役場／社保：故人の勤務先
LO-HOKURYU-037,RN-D14-02,office_hours,平日 8:30-17:15（役場）
LO-HOKURYU-038,RN-D14-02,address,北海道雨竜郡北竜町字和11-1
LO-HOKURYU-039,RN-D14-02,phone,0164-34-2111
LO-HOKURYU-040,RN-D14-03,destination,国保・後期高齢者：北竜町役場／社保：協会けんぽ支部等
LO-HOKURYU-041,RN-D14-03,office_hours,平日 8:30-17:15（役場）
LO-HOKURYU-042,RN-D14-03,address,北海道雨竜郡北竜町字和11-1
LO-HOKURYU-043,RN-D14-03,phone,0164-34-2111
LO-HOKURYU-044,RN-D14-04,destination,国保・後期高齢者：北竜町役場／社保：協会けんぽ支部等
LO-HOKURYU-045,RN-D14-04,office_hours,平日 8:30-17:15（役場）
LO-HOKURYU-046,RN-D14-04,address,北海道雨竜郡北竜町字和11-1
LO-HOKURYU-047,RN-D14-04,phone,0164-34-2111
LO-HOKURYU-048,RN-D14-05,destination,北竜町役場
LO-HOKURYU-049,RN-D14-05,office_hours,平日 8:30-17:15
LO-HOKURYU-050,RN-D14-05,address,北海道雨竜郡北竜町字和11-1
LO-HOKURYU-051,RN-D14-05,phone,0164-34-2111
LO-HOKURYU-052,RN-D14-06,destination,年金事務所（砂川年金事務所）／国民年金のみは北竜町役場でも可
LO-HOKURYU-053,RN-D14-06,steps_detail,1. 届出先：厚生年金→砂川年金事務所（0125-52-3890）、国民年金のみ→役場でも可 2.— 3. 同時手続きで1回で済む 4. 郵送可、マイナンバー登録済みなら届出不要の場合あり
LO-HOKURYU-054,RN-D14-06,office_hours,平日 8:30-17:15
LO-HOKURYU-055,RN-D14-06,address,砂川年金事務所：北海道砂川市西4条北5-1-1
LO-HOKURYU-056,RN-D14-06,phone,0125-52-3890／0570-05-1165
LO-HOKURYU-057,RN-D14-07,destination,年金事務所（砂川年金事務所）／国民年金は北竜町役場
LO-HOKURYU-058,RN-D14-07,office_hours,平日 8:30-17:15
LO-HOKURYU-059,RN-D14-07,address,砂川年金事務所：北海道砂川市西4条北5-1-1
LO-HOKURYU-060,RN-D14-07,phone,0125-52-3890／0570-05-1165
LO-HOKURYU-061,RN-D14-08,destination,年金事務所（砂川年金事務所）
LO-HOKURYU-062,RN-D14-08,steps_detail,1. 年額約80万円＋子の加算 2. 金額は加入期間と報酬による 3. 砂川年金事務所（0125-52-3890）に確認 4. 請求→支給開始まで3〜4か月、5年以内遡及可
LO-HOKURYU-063,RN-D14-08,office_hours,平日 8:30-17:15
LO-HOKURYU-064,RN-D14-08,address,番36号	砂川年金事務所：北海道砂川市西4条北5-1-1
LO-HOKURYU-065,RN-D14-08,phone,0125-52-3890／0570-05-1165
LO-HOKURYU-066,RN-D14-09,address,{要確認：北空知信金、JAきたそらち、北洋銀行深川支店、ゆうちょ銀行等}
LO-HOKURYU-067,RN-D14-09,phone,{要確認：各銀行の電話番号}
LO-HOKURYU-068,RN-D14-15,destination,電力会社・ガス会社・北竜町水道担当
LO-HOKURYU-069,RN-D14-15,steps_short,1. 故人名義の公共料金を確認 2. 住み続ける→名義変更 3. 空き家→解約（冬季の水抜きに注意） 4. 水道は北竜町役場（0164-34-2111）に連絡
LO-HOKURYU-070,RN-D14-15,steps_detail,1. 請求書・通帳で確認 2. 名義変更は電話1本 3. 冬季は水道管凍結リスク→役場に相談 4. ガス閉栓は立ち会い要の場合あり
LO-HOKURYU-071,RN-D14-15,phone,北竜町役場（水道）：0164-34-2111
LO-HOKURYU-072,RN-D14-15,faq,Q.電話1本でできる？→名義変更は多くの場合可 / Q.冬に水道解約→凍結リスクあり、水抜き必須 / Q.ガス閉栓→ガス会社に電話で立ち会い日案内
LO-HOKURYU-073,RN-D14-16,address,{要確認：深川市のキャリアショップ。北竜町にはショップなし。電話/オンライン推奨}
LO-HOKURYU-074,RN-D14-16,steps_detail,1.【重要】携帯を先に解約すると他サービスにログイン不可 2.— 3. カスタマーセンターに電話 4. 北竜町にショップなし、電話/オンライン推奨。死亡解約は違約金免除多い 5. LINEバックアップは解約前に
LO-HOKURYU-075,RN-D14-18,destination,民間：管理会社・大家／町営住宅：北竜町役場
LO-HOKURYU-076,RN-D14-18,steps_detail,1. 北竜町役場 0164-34-2111。同居家族なら承継可の場合あり 2. 解約は通常1か月前予告 3. 遺品整理業者は2〜3社見積もり推奨
LO-HOKURYU-077,RN-D14-18,office_hours,役場：平日 8:30-17:15／管理会社：営業時間内
LO-HOKURYU-078,RN-D14-18,address,北海道雨竜郡北竜町字和11-1（町営住宅）
LO-HOKURYU-079,RN-D14-18,phone,0164-34-2111（役場）
LO-HOKURYU-080,RN-D14-18,faq,Q.町営住宅に住み続けたい→同居家族なら承継可能な場合あり / Q.退去タイミング→1か月前予告必要 / Q.遺品整理→近隣業者に見積もり
LO-HOKURYU-081,RN-D14-20,steps_detail,1. 銀行の貸金庫も確認 2. 旭川地方法務局本局（0166-38-1111）で遺言書保管事実証明書を請求（郵送請求も可） 3. 戸籍謄本と本人確認書類を持参 4. 法務局保管・公正証書は検認不要
LO-HOKURYU-082,RN-D14-20,office_hours,平日 8:30-17:15
LO-HOKURYU-083,RN-D14-20,address,旭川地方法務局：北海道旭川市宮前1条3丁目3番15号
LO-HOKURYU-084,RN-D14-20,phone,0166-38-1111
LO-HOKURYU-085,RN-D14-22,action_summary,故人のマイナンバーカード（または通知カード）を北竜町役場に返す。悪用防止のため。
LO-HOKURYU-086,RN-D14-22,destination,北竜町役場 1F 住民課
LO-HOKURYU-087,RN-D14-22,office_hours,平日 8:30-17:15
LO-HOKURYU-088,RN-D14-22,address,北海道雨竜郡北竜町字和11-1
LO-HOKURYU-089,RN-D14-22,phone,0164-34-2111
LO-HOKURYU-090,RN-D14-23,destination,国保：北竜町役場／ご自身の勤務先
LO-HOKURYU-091,RN-D14-23,office_hours,平日 8:30-17:15（役場）
LO-HOKURYU-092,RN-D14-23,address,北海道雨竜郡北竜町字和11-1
LO-HOKURYU-093,RN-D14-23,phone,0164-34-2111
LO-HOKURYU-094,RN-D14-24,destination,北竜町役場
LO-HOKURYU-095,RN-D14-24,steps_detail,"1. 全部支給で月額45,500円（子1人。最新額は役場にご確認ください）。所得制限あり 2. 0164-34-2111 3. 持ち物：戸籍謄本・住民票・所得証明書・口座・印鑑 4. 児童手当の受給者変更も忘れずに。遺族年金と併給は差額支給"
LO-HOKURYU-096,RN-D14-24,office_hours,平日 8:30-17:15
LO-HOKURYU-097,RN-D14-24,address,北海道雨竜郡北竜町字和11-1
